ts,parent_pid,parent_rss_kb,total_children_rss_kb,child_count,top1_kb,top5_total_kb,total_rss_kb,total_swap_kb
2026-05-04T04:36:07Z,,,,,0,0,0,0
2026-05-04T04:36:38Z,1204283,671732,0,0,0,0,671732,89684
2026-05-04T04:37:08Z,1204283,697228,0,0,0,0,697228,89684
2026-05-04T04:37:38Z,1204283,722236,0,0,0,0,722236,89684
2026-05-04T04:38:08Z,1204283,745948,0,0,0,0,745948,89684
2026-05-04T04:38:38Z,1204283,769176,0,0,0,0,769176,89684
2026-05-04T04:39:08Z,1204283,793104,0,0,0,0,793104,89684
2026-05-04T04:39:38Z,1204283,815408,0,0,0,0,815408,89684
2026-05-04T04:40:09Z,1204283,484032,17941608,40,561316,2519916,18425640,89684
2026-05-04T04:40:40Z,1204283,484892,17544692,40,524036,2338236,18029584,89684
2026-05-04T04:41:10Z,1204283,485700,18072828,40,524096,2564348,18558528,89684
2026-05-04T04:41:40Z,1204283,486500,17535092,40,455908,2270032,18021592,89428
2026-05-04T04:42:11Z,1204283,487544,17695232,40,524104,2399176,18182776,89428
2026-05-04T04:42:41Z,1204283,488516,17681080,40,525116,2414372,18169596,89428
2026-05-04T04:43:12Z,1204283,490196,17599208,40,498496,2313164,18089404,89428
2026-05-04T04:43:42Z,1204283,492820,17799924,40,523024,2476132,18292744,89428
2026-05-04T04:44:13Z,1204283,495176,17612584,40,501512,2315172,18107760,89428
2026-05-04T04:44:43Z,1204283,497684,17646332,40,510736,2364796,18144016,89428
2026-05-04T04:45:14Z,1204283,500004,17627952,40,524116,2337776,18127956,89428
2026-05-04T04:45:44Z,1204283,502708,17531624,40,455920,2261636,18034332,89428
2026-05-04T04:46:15Z,1204283,505464,17685328,40,522892,2380088,18190792,89428
2026-05-04T04:46:46Z,1204283,508208,17692548,40,524116,2412380,18200756,89428
2026-05-04T04:47:16Z,1204283,510908,17573624,40,484936,2298596,18084532,89428
2026-05-04T04:47:47Z,1204283,513440,18047040,40,524092,2616596,18560480,89428
2026-05-04T04:48:17Z,1204283,515796,17743784,40,523092,2407216,18259580,89428
2026-05-04T04:48:48Z,1204283,518428,17793884,40,529604,2498096,18312312,89428
2026-05-04T04:49:19Z,1204283,520984,17997868,40,535860,2629872,18518852,89428
2026-05-04T04:49:49Z,1204283,523380,17530604,40,455920,2261636,18053984,89428
2026-05-04T04:50:20Z,1204283,525640,17646416,40,523976,2355880,18172056,89428
2026-05-04T04:50:50Z,1204283,528140,17887156,40,524116,2542424,18415296,89428
2026-05-04T04:51:21Z,1204283,530532,17887480,40,518932,2450456,18418012,89428
2026-05-04T04:51:51Z,1204283,532812,17540856,40,455920,2267056,18073668,89428
2026-05-04T04:52:22Z,1204283,535228,17873792,40,522888,2532368,18409020,89428
2026-05-04T04:52:52Z,1204283,537388,17530604,40,455920,2261636,18067992,89428
2026-05-04T04:53:23Z,1204283,539428,17530604,40,455920,2261636,18070032,89428
2026-05-04T04:53:53Z,1204283,541588,17530604,40,455920,2261636,18072192,89428
2026-05-04T04:54:23Z,1204283,543364,17530604,40,455920,2261636,18073968,89428
2026-05-04T04:54:54Z,1204283,545308,56450272,80,1432720,7043616,56995580,89428
2026-05-04T04:55:25Z,1204283,545304,80370480,80,2304220,11271404,80915784,89428
2026-05-04T04:55:56Z,1204283,365616,79213568,80,2674096,13206256,79579184,1086612
2026-05-04T04:56:26Z,1204283,303072,76455568,80,2897724,13491216,76758640,4025272
2026-05-04T04:56:57Z,1204283,273344,65179188,80,3014872,13765988,65452532,6577768
2026-05-04T04:57:27Z,1204283,273400,54531028,80,2724708,12610432,54804428,7332024
2026-05-04T04:57:57Z,1204283,273420,53429516,80,2619080,12200720,53702936,7761992
2026-05-04T04:58:28Z,1204283,273472,44238184,80,3052020,13347924,44511656,6446416
2026-05-04T04:58:58Z,1204283,296888,10354264,40,364516,1704284,10651152,4245840
2026-05-04T04:59:29Z,1204283,391420,10354264,40,364516,1704284,10745684,4185168
2026-05-04T04:59:59Z,1204283,592332,0,0,0,0,592332,158032
2026-05-04T05:00:29Z,1204283,604232,0,0,0,0,604232,158032
2026-05-04T05:00:59Z,1204283,620048,0,0,0,0,620048,158032
2026-05-04T05:01:29Z,1204283,636392,0,0,0,0,636392,157264
2026-05-04T05:01:59Z,1204283,654332,0,0,0,0,654332,154960
2026-05-04T05:02:29Z,1204283,670164,0,0,0,0,670164,154960
2026-05-04T05:02:59Z,1204283,685700,0,0,0,0,685700,154960
2026-05-04T05:03:29Z,1204283,701816,0,0,0,0,701816,154960
2026-05-04T05:04:00Z,1204283,717820,0,0,0,0,717820,154960
2026-05-04T05:04:30Z,1204283,733768,0,0,0,0,733768,153168
2026-05-04T05:05:00Z,1204283,424848,16842296,40,493552,2271480,17267144,152912
2026-05-04T05:05:30Z,1204283,424396,16963588,40,465468,2264048,17387984,152912
2026-05-04T05:06:01Z,1204283,424932,16979860,40,464568,2264272,17404792,152912
2026-05-04T05:06:31Z,1204283,425296,16979128,40,464568,2264272,17404424,152912
2026-05-04T05:07:01Z,1204283,425764,16979628,40,464568,2264276,17405392,152912
2026-05-04T05:07:32Z,1204283,426172,16979640,40,464568,2264280,17405812,152912
2026-05-04T05:08:02Z,1204283,427096,16979644,40,464568,2264280,17406740,152656
2026-05-04T05:08:32Z,1204283,427476,16978644,40,464568,2264280,17406120,152656
2026-05-04T05:09:02Z,1204283,565756,0,0,0,0,565756,149328
2026-05-04T05:09:32Z,1204283,650580,0,0,0,0,650580,149328
2026-05-04T05:10:02Z,1204283,705648,0,0,0,0,705648,149328
2026-05-04T05:10:33Z,1204283,430564,16811140,40,421780,2106664,17241704,149328
2026-05-04T05:11:04Z,1204283,430564,17314540,40,503212,2364684,17745104,149328
2026-05-04T05:11:34Z,1204283,430564,17624464,40,545932,2565464,18055028,149328
2026-05-04T05:12:05Z,1204283,430564,17331380,40,521996,2387832,17761944,149328
2026-05-04T05:12:35Z,1204283,430564,17233492,40,466676,2321620,17664056,149328
2026-05-04T05:13:06Z,1204283,430564,17230472,40,466680,2321624,17661036,149328
2026-05-04T05:13:36Z,,,,,0,0,0,0
